question,choices,answer,explanation,category,options
Which of the following best describes the purpose of flow control in the Data Link layer?,,To prevent the overloading of the receiver by regulating the amount of data sent,Flow control helps prevent network congestion by managing the rate at which data is transmitted to a receiver to avoid buffer overflow.,datalink-layer,"['To prevent congestion by managing traffic between routers', 'To prevent the overloading of the receiver by regulating the amount of data sent', 'To authenticate devices on the network', 'To encrypt data for secure transmission']"
What is the purpose of the Data Link layer's frame delimiter?,,To identify the start and end of a frame,"The frame delimiter is used to mark the boundaries of a data frame, helping the receiver to know when a frame starts and ends.",datalink-layer,"['To identify the start and end of a frame', 'To provide an IP address for routing', 'To create redundancy for error checking', 'To assign unique addresses to devices']"
Which type of device typically uses MAC addresses to forward data frames?,,Switch,A switch uses MAC addresses to forward data frames between devices within the same local network.,datalink-layer,"['Router', 'Hub', 'Switch', 'Gateway']"
Which Data Link layer protocol is used for wireless local area networks (WLANs)?,,IEEE 802.11,"IEEE 802.11 is the standard for wireless LANs, operating at the Data Link layer to handle wireless communication.",datalink-layer,"['Ethernet', 'PPP', 'HDLC', 'IEEE 802.11']"
What is the role of a NIC (Network Interface Card) at the Data Link layer?,,It performs error checking and encapsulation of data,The NIC operates at the Data Link layer by adding error checking and encapsulating data into frames for transmission over the physical medium.,datalink-layer,"['It routes data packets to different networks', 'It provides a physical connection to the network', 'It performs error checking and encapsulation of data', 'It assigns IP addresses to devices on the network']"
Which of the following is an example of a Data Link layer protocol?,,PPP,PPP (Point-to-Point Protocol) is a Data Link layer protocol used to establish direct connections between two nodes over serial links.,datalink-layer,"['TCP', 'UDP', 'PPP', 'IP']"
What is the role of the FCS (Frame Check Sequence) in an Ethernet frame?,,To detect errors in the transmitted frame,"The FCS is used for error detection in the Ethernet frame, allowing the receiver to check for data integrity issues.",datalink-layer,"['To provide an address for the destination device', 'To detect errors in the transmitted frame', 'To control the flow of data', 'To manage access to the physical medium']"
Which layer of the OSI model handles the physical transmission of data?,,Data Link layer,"The Data Link layer is responsible for the reliable transfer of data over the physical medium, which includes error detection and frame synchronization.",datalink-layer,"['Physical layer', 'Data Link layer', 'Network layer', 'Transport layer']"
What does the acronym MAC stand for in terms of Data Link layer addressing?,,Media Access Control,"MAC stands for Media Access Control, which refers to the addressing and access mechanisms used by devices to communicate on a local network segment.",datalink-layer,"['Media Access Control', 'Maximum Access Control', 'Machine Address Configuration', 'Medium Address Code']"
Which of the following is NOT a function of the Data Link layer?,,Routing data packets,"Routing data packets is a function of the Network layer (Layer 3), not the Data Link layer.",datalink-layer,"['Error detection and correction', 'Flow control', 'Routing data packets', 'Frame delimiting']"
What type of address is used by the ARP (Address Resolution Protocol)?,,MAC address,"ARP maps an IP address to a MAC address, allowing devices on a local network to communicate with each other.",datalink-layer,"['IP address', 'MAC address', 'Subnet mask', 'Port number']"
What is the role of the Data Link layer in managing collisions on a shared medium?,,It manages access to the medium using protocols like CSMA/CD,The Data Link layer uses protocols like CSMA/CD (Carrier Sense Multiple Access with Collision Detection) to manage access to the shared physical medium and avoid collisions.,datalink-layer,"['It detects and corrects errors', 'It manages access to the medium using protocols like CSMA/CD', 'It routes packets to the destination', 'It encrypts data for secure transmission']"
Which protocol operates at the transport layer and ensures reliable data delivery?,,TCP,"TCP (Transmission Control Protocol) is a connection-oriented protocol that ensures reliable, ordered, and error-checked delivery of data at the transport layer.",transport-layer,"['TCP', 'IP', 'HTTP', 'FTP']"
Which protocol is used for connectionless communication at the transport layer?,,UDP,UDP (User Datagram Protocol) is a connectionless protocol used for faster data transmission without error correction or guarantee of delivery.,transport-layer,"['TCP', 'UDP', 'IP', 'ICMP']"
What is the primary function of the transport layer?,,Establishing and maintaining end-to-end communication,"The transport layer is responsible for establishing, maintaining, and terminating communication between two devices on a network.",transport-layer,"['Routing data packets', 'Establishing and maintaining end-to-end communication', 'Error detection', 'Physical addressing']"
Which port number is used by HTTP?,,80,HTTP (Hypertext Transfer Protocol) uses port 80 by default for unencrypted communication between a client and a web server.,transport-layer,"['80', '443', '21', '25']"
Which of the following is NOT a feature of TCP?,,Connectionless,"TCP is a connection-oriented protocol, unlike UDP, which is connectionless.",transport-layer,"['Error detection', 'Flow control', 'Connectionless', 'Retransmission of lost packets']"
What is the maximum window size in TCP for controlling flow?,,64 KB,TCP uses a window size of 64 KB (65535 bytes) to control the flow of data between sender and receiver.,transport-layer,"['16 bits', '32 bits', '64 KB', '64 MB']"
Which protocol provides error detection but does not guarantee delivery?,,UDP,UDP provides error detection using a checksum but does not guarantee delivery or retransmission of lost data.,transport-layer,"['TCP', 'UDP', 'ICMP', 'IGMP']"
What is the purpose of the TCP three-way handshake?,,To establish a connection between sender and receiver,The three-way handshake in TCP is used to establish a reliable connection between sender and receiver by exchanging SYN and ACK packets.,transport-layer,"['To establish a secure connection', 'To establish a connection between sender and receiver', 'To close the connection', 'To encrypt the data']"
Which field in the TCP header is used to identify the application data?,,Source Port,The source and destination port numbers in the TCP header are used to direct the data to the appropriate application on the sender and receiver devices.,transport-layer,"['Source Port', 'Destination Port', 'Sequence Number', 'Acknowledgment Number']"
What is the default port for HTTPS?,,443,HTTPS (Hypertext Transfer Protocol Secure) uses port 443 for encrypted communication between a client and a web server.,transport-layer,"['443', '80', '21', '23']"
Which of the following is a characteristic of UDP?,,Low latency,"UDP is connectionless and provides lower latency compared to TCP, as it does not perform error checking or retransmissions.",transport-layer,"['Connection-oriented', 'Flow control', 'No error checking', 'Low latency']"
What is the purpose of the sliding window mechanism in TCP?,,To manage flow control,"The sliding window mechanism in TCP is used to manage the flow of data between the sender and receiver, allowing efficient use of bandwidth.",transport-layer,"['To increase the size of packets', 'To prevent network congestion', 'To allow faster retransmission', 'To manage flow control']"
Which of the following protocols does not guarantee reliable delivery of data?,,UDP,"UDP does not guarantee reliable delivery of data, unlike TCP which provides error recovery and flow control.",transport-layer,"['TCP', 'UDP', 'SCTP', 'DCCP']"
What does the TCP SYN flag indicate?,,Connection establishment,The SYN flag in TCP is used to initiate the connection during the three-way handshake process.,transport-layer,"['Data transfer', 'Connection establishment', 'Connection termination', 'Connection acknowledgment']"
Which layer in the OSI model is responsible for providing end-to-end communication?,,Transport Layer,The transport layer provides end-to-end communication services and ensures reliable data transfer between devices.,transport-layer,"['Network Layer', 'Transport Layer', 'Session Layer', 'Application Layer']"
Which protocol is commonly used for streaming media over the internet?,,UDP,"UDP is commonly used for streaming media because it provides low latency, which is essential for real-time data transfer like audio and video.",transport-layer,"['UDP', 'TCP', 'HTTP', 'IP']"
What is the role of the TCP acknowledgment number?,,To confirm the receipt of data,The acknowledgment number in TCP is used to indicate that the receiver has successfully received the previous segment of data.,transport-layer,"['To confirm the receipt of data', 'To identify the packet size', 'To verify the integrity of data', 'To indicate the type of data']"
Which protocol is responsible for ensuring that data arrives in the correct order?,,TCP,TCP ensures that data is received in the correct order by using sequence numbers and acknowledging the receipt of packets.,transport-layer,"['IP', 'TCP', 'ARP', 'ICMP']"
Which of the following statements is true about the TCP protocol?,,It guarantees the delivery of data,"TCP is a connection-oriented protocol that guarantees the reliable delivery of data by using error detection, acknowledgment, and retransmission mechanisms.",transport-layer,"['It is connectionless', 'It is faster than UDP', 'It guarantees the delivery of data', 'It does not provide error checking']"
What is the purpose of a port number in the transport layer?,,To identify the destination application,Port numbers are used to direct data to the appropriate application or service running on the destination device.,transport-layer,"['To identify the source device', 'To identify the destination application', 'To define the network route', 'To encrypt the data']"
Which protocol uses port 25 by default?,,SMTP,SMTP (Simple Mail Transfer Protocol) uses port 25 by default for sending email between servers.,transport-layer,"['SMTP', 'FTP', 'HTTP', 'DNS']"
What does the TCP RST flag indicate?,,Connection reset,The RST flag in TCP is used to reset the connection when there is an error or when the connection is not valid.,transport-layer,"['Connection reset', 'Data transfer', 'Error detection', 'Connection termination']"
Which of the following is NOT a characteristic of the UDP protocol?,,Guaranteed delivery,"UDP is unreliable and does not guarantee delivery, unlike TCP which ensures reliable data transfer.",transport-layer,"['Connectionless', 'No error checking', 'Unreliable', 'Guaranteed delivery']"
Which mechanism in TCP ensures the reliable delivery of data?,,Acknowledge,"In TCP, the acknowledgment mechanism ensures that each segment of data is successfully received by the destination and allows for retransmission of lost data.",transport-layer,"['Checksum', 'Acknowledge', 'Sequence Number', 'Window Size']"
What is the purpose of the TCP FIN flag?,,Connection termination,The FIN flag in TCP is used to gracefully terminate a connection between the sender and receiver.,transport-layer,"['Connection termination', 'Data transfer', 'Error detection', 'Acknowledgment of data']"
Which of the following protocols is used to monitor and maintain the state of network connections?,,TCP,"TCP manages and monitors the state of network connections, ensuring reliable data transfer and connection establishment/termination.",transport-layer,"['ICMP', 'TCP', 'UDP', 'IGMP']"
Which layer of the OSI model does TCP operate in?,,Transport Layer,"TCP operates at the transport layer of the OSI model, providing end-to-end communication and reliable data transfer.",transport-layer,"['Network Layer', 'Transport Layer', 'Data Link Layer', 'Session Layer']"
Which of the following best describes a characteristic of TCP?,,Reliable and slower,"TCP is reliable due to its error detection, correction, and acknowledgment mechanisms, but it is slower than UDP because of the overhead of these processes.",transport-layer,"['Unreliable and fast', 'Reliable and slower', 'Connectionless and unreliable', 'Fast but error-prone']"
What is the primary difference between TCP and UDP?,,"TCP provides error correction, while UDP does not","TCP is a connection-oriented protocol that provides error detection, correction, and guaranteed delivery of data, while UDP is connectionless and does not ensure reliable delivery.",transport-layer,"['TCP is faster than UDP', 'TCP provides error correction, while UDP does not', 'UDP guarantees delivery of data, while TCP does not', 'UDP uses fewer ports than TCP']"
Which protocol is used by DNS for communication?,,UDP,DNS (Domain Name System) typically uses UDP for communication as it is fast and does not require the overhead of error correction.,transport-layer,"['TCP', 'UDP', 'ICMP', 'HTTP']"
What does the TCP FIN flag indicate?,,Connection termination,The FIN flag in TCP indicates that the sender has finished sending data and is ready to terminate the connection.,transport-layer,"['Connection establishment', 'Connection termination', 'Error detection', 'Data transfer']"
Which of the following is a feature of the User Datagram Protocol (UDP)?,,Low overhead,"UDP has low overhead because it is a connectionless protocol that does not require error detection or retransmission mechanisms, making it faster than TCP.",transport-layer,"['Error detection', 'Connection-oriented', 'Flow control', 'Low overhead']"
What is the role of the sequence number in TCP?,,It ensures the data is delivered reliably and in order,"The sequence number in TCP helps to organize data in the correct order, ensuring reliable delivery and reordering of packets if they arrive out of sequence.",transport-layer,"['It ensures the data is delivered reliably and in order', 'It verifies the integrity of the data', 'It identifies the destination device', 'It encrypts the data']"
Which of the following statements is true about UDP?,,It has less overhead than TCP,"UDP has less overhead than TCP because it is a connectionless protocol that does not require error detection, acknowledgments, or flow control.",transport-layer,"['It guarantees data delivery', 'It is connection-oriented', 'It provides error checking', 'It has less overhead than TCP']"
You are troubleshooting a network connection and notice that the application data is arriving out of order. Which protocol and feature should you check to resolve this issue?,,TCP - Sequence Numbers,"TCP uses sequence numbers to ensure that data arrives in the correct order. If data is arriving out of order, it could indicate an issue with the sequence number handling.",transport-layer,"['TCP - Sequence Numbers', 'UDP - Port Numbers', 'TCP - Flow Control', 'UDP - Error Checking']"
"A user reports that their video streaming application is stuttering and dropping frames. Which transport layer protocol would be the most appropriate for this scenario, and why?",,UDP - Low latency with no retransmissions,"UDP is commonly used for video streaming because it has low latency and does not retransmit lost packets, allowing for continuous data flow despite some loss.",transport-layer,"['TCP - Reliable transmission ensures no data loss', 'UDP - Low latency with no retransmissions', 'TCP - Guarantees data delivery but with higher latency', 'UDP - Provides error-free data transmission']"
"During the connection establishment of a TCP session, you observe that a SYN packet is sent, followed by a SYN-ACK response from the destination, but no ACK packet is received. What is the likely cause?",,A firewall is blocking the ACK response,"The three-way handshake involves sending SYN, SYN-ACK, and ACK. If the ACK packet is not received, it is often due to a firewall or filtering device blocking the ACK response.",transport-layer,"['A firewall is blocking the ACK response', 'The destination server is overwhelmed', 'The client is not sending the SYN-ACK response', 'The sequence number is incorrect']"
"A network technician is troubleshooting an application that uses TCP. The technician notices that the connection is slow, and the bandwidth is underutilized. What could be the issue?",,Flow control and congestion window are limiting throughput,TCP uses flow control and a congestion window to prevent network congestion. These mechanisms can slow down data transfer if the network is congested or if there are flow control issues.,transport-layer,"['Flow control and congestion window are limiting throughput', 'TCP connection is being dropped and re-established', 'The application is running on an incorrect port', 'The device is using the wrong transport protocol']"
"A network administrator is trying to set up a new service on port 443. After configuring the server, the service is not accessible from external devices. What could be causing this issue?",,The firewall is blocking TCP port 443,"TCP port 443 is typically used for HTTPS traffic. If the firewall is blocking this port, external devices will not be able to access the service running on this port.",transport-layer,"['The firewall is blocking TCP port 443', 'UDP port 443 is not open', 'The router is not routing TCP packets', 'Port 443 is being used by another service']"
You are configuring a new web application that requires secure communication. Which transport layer protocol and port should be used?,,TCP - Port 443,"HTTPS uses TCP on port 443 to provide secure, encrypted communication for web applications.",transport-layer,"['TCP - Port 80', 'TCP - Port 443', 'UDP - Port 80', 'UDP - Port 443']"
A network administrator is configuring a DNS server. What transport layer protocol and port should the server use for queries?,,UDP - Port 53,"DNS queries typically use UDP on port 53, as it is faster and requires less overhead than TCP, which is more suited for reliable connections.",transport-layer,"['UDP - Port 53', 'TCP - Port 53', 'UDP - Port 80', 'TCP - Port 80']"
"A user is experiencing issues with their email client, and the technician notices that port 25 is being used. What protocol is most likely being used for sending email?",,SMTP,SMTP (Simple Mail Transfer Protocol) uses port 25 to send email. Port 25 is used for communication between email servers.,transport-layer,"['SMTP', 'IMAP', 'POP3', 'FTP']"
You are tasked with configuring a network application that requires both reliability and low latency. Which transport layer protocol should you choose?,,TCP,"TCP provides reliability by ensuring that data is delivered correctly, though it introduces some latency due to its error-checking mechanisms. It is the best choice when reliability is crucial.",transport-layer,"['TCP', 'UDP', 'ICMP', 'FTP']"
"During a network troubleshooting session, you find that a web application is not receiving data properly. The application is running on TCP port 80. What should you check first?",,Firewall blocking port 80,"If the application is running on port 80, ensure that no firewall is blocking incoming traffic on this port, as it is used by HTTP for web traffic.",transport-layer,"['Firewall blocking port 80', 'Application server misconfiguration', 'DNS resolution issue', 'Incorrect IP addressing']"
"A customer reports that their FTP server is experiencing slow data transfers, even though the connection is established. What could be causing the slow transfer speeds?",,TCP window size is too small,A small TCP window size can limit the throughput of data transfers. Increasing the window size can improve the data transfer speed in TCP.,transport-layer,"['TCP window size is too small', 'The FTP server is using UDP', 'The server is behind a NAT device', 'The client is using the wrong FTP port']"
You are troubleshooting a network where two devices are communicating over a TCP connection. You notice frequent retransmissions of packets. What is the likely cause?,,Network congestion or packet loss,"Frequent retransmissions in TCP can occur due to network congestion or packet loss, requiring the sender to resend lost data to ensure reliable delivery.",transport-layer,"['Network congestion or packet loss', 'The devices are using UDP incorrectly', 'The connection is being throttled by the firewall', 'The devices are not synchronizing correctly']"
"A client is having trouble establishing a TCP connection to a server. You observe that the client is sending a SYN message, but the server is not responding. What could be the issue?",,The server's firewall is blocking incoming SYN packets,"If the server does not respond to a SYN packet during the TCP handshake, it is likely that a firewall or security device is blocking incoming connections.",transport-layer,"[""The server's firewall is blocking incoming SYN packets"", ""The server's TCP buffer is full"", 'The client is using the wrong port', 'The client is sending a malformed SYN packet']"
"During a TCP connection, you notice that the data is being sent without any acknowledgment. What could be the reason for this?",,The ACK flag is not set in the TCP header,"TCP requires the ACK flag to be set in the header to acknowledge the receipt of data. If acknowledgments are not sent, it could indicate an issue with the flag or configuration.",transport-layer,"['The ACK flag is not set in the TCP header', 'The TCP window size is too large', 'The source port is incorrect', 'The firewall is blocking the ACK packets']"
"You are configuring an application that needs to send real-time updates, but you cannot afford to retransmit lost data. Which transport protocol is most appropriate?",,UDP,"UDP is a connectionless protocol that does not retransmit lost data, making it ideal for applications like video or voice streaming where low latency is more important than reliable delivery.",transport-layer,"['TCP', 'UDP', 'ICMP', 'IGMP']"
A client is unable to connect to a web server via HTTPS. You verify that the client is attempting to connect to port 443. What might be the cause of the issue?,,Port 443 is blocked by the firewall,"Port 443 is used for HTTPS, and if it is blocked by a firewall, the client will not be able to establish a secure connection to the web server.",transport-layer,"['The web server is not configured to use TCP', 'Port 443 is blocked by the firewall', 'The client is using an incorrect protocol', 'The client’s browser is not SSL/TLS-capable']"
"During troubleshooting, you find that a TCP connection is being terminated unexpectedly. What might be the cause?",,The FIN flag was sent prematurely,"The FIN flag is used to signal the termination of a TCP connection. If it is sent prematurely, it can cause the connection to terminate unexpectedly.",transport-layer,"['The FIN flag was sent prematurely', 'The sequence numbers are mismatched', 'The TCP window size is too small', 'The port is being used by another application']"
"A client is communicating with a web server, and during the TCP handshake, they receive a SYN-ACK packet, but no further packets are exchanged. What could be the problem?",,The client is not sending the ACK packet,"During the TCP handshake, the client must send an ACK packet after receiving the SYN-ACK to establish the connection. If the ACK is not sent, the handshake cannot complete.",transport-layer,"['The client is not sending the ACK packet', 'The server is not properly handling the SYN-ACK', 'The connection is being reset by the firewall', ""The server's maximum TCP connection limit is reached""]"
"You notice that your application, which uses UDP, is receiving error messages related to checksum failures. What could be the cause of the issue?",,Corruption of packets during transmission,"UDP includes a checksum field to detect errors in transmission. If the packets are corrupted, the checksum will fail, causing the error message.",transport-layer,"['Corruption of packets during transmission', 'Incorrect port number in the UDP header', 'UDP packets are being fragmented', 'The application is using the wrong transport protocol']"
You are tasked with improving the throughput of a TCP-based application. Which of the following should you adjust to help with this?,,Increase the TCP window size,"Increasing the TCP window size allows more data to be sent before an acknowledgment is required, improving throughput by utilizing available bandwidth more efficiently.",transport-layer,"['Increase the TCP window size', 'Decrease the TCP window size', 'Enable UDP', 'Increase the TTL value']"
"A network administrator is attempting to test a new TCP service, but the client cannot connect to the server. What should the administrator check first?",,Firewall rules blocking the TCP port,"If a client cannot connect to a server, the first thing to check is whether the firewall is blocking the port used by the service.",transport-layer,"['Firewall rules blocking the TCP port', 'Incorrect IP addressing', 'Incorrect transport protocol', 'Network cable connectivity']"
You are analyzing a network trace and notice that packets sent from your server are being dropped due to an oversized segment. What should you check?,,MTU size configuration,"If packets are being dropped due to an oversized segment, it could indicate an issue with the Maximum Transmission Unit (MTU) size, which needs to be adjusted to fit the network path's capacity.",transport-layer,"['MTU size configuration', 'Firewall filtering', 'Transport protocol being used', 'Port numbers in the packets']"
A network technician is troubleshooting a connection issue and notices that no SYN-ACK packet is being received. What is the most likely cause?,,The server's firewall is blocking the SYN packet,"If no SYN-ACK is received after sending a SYN, it is likely that a firewall on the server is blocking incoming TCP connection requests.",transport-layer,"[""The server's firewall is blocking the SYN packet"", 'The client has sent an invalid SYN packet', 'The connection is using UDP instead of TCP', 'The TCP connection was established incorrectly']"
A user is unable to connect to a secure website via HTTPS. The client device is attempting to connect on port 443. What is the first step to troubleshoot the issue?,,Check if the firewall is blocking TCP port 443,"Port 443 is used for HTTPS. If there is an issue with connecting, the first step should be to check if a firewall is blocking this port.",transport-layer,"['Check if the firewall is blocking TCP port 443', 'Verify the SSL certificate on the web server', 'Check the DNS configuration', 'Ensure the server is running on the correct IP address']"
You are configuring a video conferencing application. Which transport layer protocol would be most suitable for this type of application?,,UDP,UDP is ideal for real-time applications such as video conferencing because it has low latency and does not wait for acknowledgments or retransmit lost packets.,transport-layer,"['TCP', 'UDP', 'ICMP', 'FTP']"
A server is receiving sporadic data loss from clients. Which transport layer feature should you investigate to prevent this data loss?,,Congestion control and flow control in TCP,TCP’s congestion control and flow control mechanisms help avoid data loss by adjusting the transmission rate based on network conditions.,transport-layer,"['Congestion control and flow control in TCP', 'UDP packet size configuration', 'Firewall rules filtering UDP traffic', 'TCP window size']"
A technician is working on a network and notices that UDP traffic is not being received on port 161. What is most likely causing this?,,A firewall is blocking UDP port 161,"UDP port 161 is used by the SNMP (Simple Network Management Protocol). If UDP traffic is not being received, it's often due to firewall rules blocking this port.",transport-layer,"['The UDP protocol is not configured correctly', 'The SNMP service is down on the server', 'A firewall is blocking UDP port 161', 'There is a DNS issue']"
You are troubleshooting a TCP connection issue and notice that the application is unable to receive data. What could be causing this issue?,,TCP window size is too small,"A small TCP window size limits the amount of data that can be in-flight before an acknowledgment is received, causing throughput issues.",transport-layer,"['TCP window size is too small', 'UDP is being used incorrectly', 'The server is using port 443', 'There is a DNS resolution issue']"
"During the establishment of a TCP connection, you observe that the client repeatedly sends SYN packets but never receives SYN-ACK responses. What could be causing this?",,Firewall blocking the SYN-ACK responses,"A common cause of this issue is a firewall or filtering device blocking the SYN-ACK response from the server, preventing the three-way handshake from completing.",transport-layer,"['Firewall blocking the SYN-ACK responses', 'The client is using an invalid port', 'The server is not accepting TCP connections', 'The TCP connection is being reset']"
"You are troubleshooting a VoIP application. The call quality is poor and choppy, with noticeable latency. Which transport protocol would improve performance for this application?",,UDP,"UDP is suitable for real-time applications like VoIP because it minimizes latency by not retransmitting lost packets, even though this can result in some data loss.",transport-layer,"['TCP', 'UDP', 'ICMP', 'FTP']"
"A web server is receiving a large number of TCP SYN packets, but no data is being transmitted. What is the likely issue?",,The server is under a SYN flood attack,"A SYN flood attack involves sending a large number of SYN packets to exhaust server resources, preventing legitimate connections from being established.",transport-layer,"['The server is under a SYN flood attack', 'The server is misconfigured', 'The firewall is blocking incoming traffic', ""The server's TCP connection limit has been reached""]"
You are configuring a new firewall rule to allow inbound connections for FTP. Which port should be allowed for this service?,,TCP 20 and 21,"FTP uses TCP ports 20 and 21 for control and data connections. Port 21 is used for control, while port 20 is used for data transfer in active mode.",transport-layer,"['TCP 20 and 21', 'TCP 80', 'UDP 161', 'TCP 443']"
"During a packet capture, you observe that some packets are being dropped due to exceeding the Maximum Transmission Unit (MTU). What should you adjust?",,Decrease the MTU size on the sending device,"When packets exceed the MTU size, they are fragmented or dropped. Adjusting the MTU size on the sending device can help avoid these issues.",transport-layer,"['Increase the MTU size on the network interface', 'Decrease the MTU size on the sending device', 'Enable flow control on the devices', 'Switch from TCP to UDP']"
A network administrator is troubleshooting a TCP session that repeatedly resets. What should the administrator check first?,,TCP flags (RST flag),"The RST flag in a TCP packet is used to reset a connection. If sessions are being reset, it is crucial to check for the presence of RST flags in the packets.",transport-layer,"['TCP flags (RST flag)', 'Firewall logs', 'TCP window size', 'Port blocking']"
"A server is responding to HTTP requests, but the response times are slow. Which TCP feature could be affecting the performance?",,Congestion window,The congestion window controls the flow of data during a TCP session. A small congestion window can limit throughput and cause slow response times.,transport-layer,"['Congestion window', 'Checksum field', 'Sequence numbers', 'Maximum segment size']"
"A VoIP system is experiencing jitter, causing uneven audio quality during calls. Which transport layer protocol should be considered to reduce jitter?",,UDP,UDP is preferred for real-time applications like VoIP because it minimizes jitter by not waiting for lost packets to be retransmitted.,transport-layer,"['TCP', 'UDP', 'ICMP', 'IGMP']"
"During a TCP connection, you notice that the connection terminates unexpectedly. What might be the cause?",,The FIN flag was sent prematurely,"The FIN flag signals the end of a TCP connection. If it is sent prematurely, the connection can be terminated unexpectedly.",transport-layer,"['The FIN flag was sent prematurely', 'The sequence numbers were mismatched', 'The server is overloaded', 'The client sent an RST packet']"
A web application is being tested for reliability and performance. The connection occasionally drops and packets are retransmitted. What is most likely the cause?,,Network congestion or packet loss,"TCP retransmits packets when they are lost, which is commonly caused by network congestion or intermittent packet loss.",transport-layer,"['Network congestion or packet loss', 'Incorrect application configuration', 'Firewall blocking TCP packets', 'Port mismatch on the server']"
"During a packet analysis, you notice that a connection is using the TCP three-way handshake. Which flags are involved in this process?",,"SYN, SYN-ACK, ACK","The TCP three-way handshake involves three steps: the client sends a SYN, the server responds with SYN-ACK, and the client sends an ACK to complete the connection.",transport-layer,"['SYN, SYN-ACK, ACK', 'SYN, FIN, ACK', 'ACK, PSH, RST', 'RST, FIN, SYN']"
A user is unable to connect to a mail server over IMAP. You find that the server is using port 143. What should you check next?,,Firewall blocking port 143,"IMAP typically uses port 143. If a user cannot connect, the first thing to check is whether a firewall is blocking this port.",transport-layer,"['Firewall blocking port 143', 'Server misconfiguration', 'DNS resolution issue', 'Incorrect IP addressing']"
A network administrator is configuring a file transfer system. The system is designed to ensure that lost packets are retransmitted. Which transport protocol should be used?,,TCP,"TCP is the transport protocol that guarantees reliable data delivery, including retransmission of lost packets.",transport-layer,"['TCP', 'UDP', 'ICMP', 'FTP']"
You are troubleshooting a network where a client is experiencing poor performance while streaming video. Which transport protocol could be causing the issue?,,TCP,"TCP's reliability mechanisms, such as acknowledgments and retransmissions, can introduce latency. For video streaming, UDP is preferred to avoid delays.",transport-layer,"['TCP', 'UDP', 'ICMP', 'FTP']"
A network administrator is configuring a firewall and needs to allow incoming HTTPS traffic. Which port should be opened on the firewall?,,TCP port 443,HTTPS traffic uses TCP port 443 to provide secure communication over the web. Port 80 is used for HTTP traffic.,transport-layer,"['TCP port 80', 'TCP port 443', 'UDP port 443', 'UDP port 80']"
"A user cannot access a web server using HTTPS. You verify that port 443 is open, but the problem persists. What is the next step in troubleshooting?",,Check the SSL/TLS certificate on the server,"If port 443 is open but HTTPS is not working, the issue could be with the server's SSL/TLS certificate, which is essential for secure communication.",transport-layer,"['Check the SSL/TLS certificate on the server', 'Ensure the server is using TCP', 'Verify the DNS server configuration', 'Check the routing configuration']"
A network administrator is troubleshooting a server and notices that TCP connections are not being established. What could be the issue?,,The server is behind a firewall blocking SYN packets,"If the server is behind a firewall blocking SYN packets, the three-way handshake cannot be completed, preventing TCP connections from being established.",transport-layer,"['The server is behind a firewall blocking SYN packets', 'The TCP window size is too large', 'The server is using the wrong transport protocol', 'The port is already in use by another application']"
Which of the following devices operates primarily at the Data Link Layer to filter traffic based on MAC addresses?,,Switch,"A switch operates primarily at the Data Link Layer, filtering traffic based on MAC addresses. It creates a MAC address table to forward frames to the correct destination port.",datalink-layer,"['Router', 'Switch', 'Hub', 'Bridge']"
What does the Data Link Layer use to ensure that data is delivered to the correct device on a local network?,,MAC address,The Data Link Layer uses MAC addresses to uniquely identify devices on the same local network and ensure that data is delivered to the correct device.,datalink-layer,"['IP address', 'MAC address', 'Port number', 'Subnet mask']"
"In a scenario where a network device is sending data to another device within the same broadcast domain, which address is used for the delivery of frames?",,MAC address,"In a local network within the same broadcast domain, data frames are delivered based on the destination MAC address, which is unique to each device on the network.",datalink-layer,"['IP address', 'MAC address', 'Port number', 'DNS address']"
Which of the following protocols operates at the Data Link Layer and provides error detection and correction for transmitted data?,,Ethernet,Ethernet provides error detection and correction at the Data Link Layer using a Frame Check Sequence (FCS) field to verify the integrity of transmitted frames.,datalink-layer,"['TCP', 'IP', 'Ethernet', 'ARP']"
A network engineer is troubleshooting a connectivity issue on a local area network (LAN). Which tool can they use to inspect and analyze traffic at the Data Link Layer?,,Wireshark,"Wireshark is a network protocol analyzer that can capture and analyze network traffic at various layers, including the Data Link Layer, to troubleshoot connectivity issues.",datalink-layer,"['Ping', 'Traceroute', 'Wireshark', 'Telnet']"
Which of the following is true about the Data Link Layer in the OSI model?,,It provides error detection and correction for physical transmission.,The Data Link Layer provides error detection and correction for frames transmitted over the physical medium. It ensures reliable data transfer within a local network.,datalink-layer,"['It is responsible for routing packets across different networks.', 'It provides error detection and correction for physical transmission.', 'It defines the rules for data compression.', 'It handles the conversion of digital signals into analog.']"
Which Ethernet frame type is used to prevent collision on a network with multiple devices sharing the same communication medium?,,Broadcast,"A broadcast frame is sent to all devices on a local network segment, and it is used to avoid collisions by ensuring that devices are aware of the communication happening on the network.",datalink-layer,"['Broadcast', 'Unicast', 'Multicast', 'Collision domain']"
"In a switched Ethernet network, which mechanism is used to determine where to send frames based on the destination MAC address?",,MAC Address Table,"In switched Ethernet networks, the switch uses a MAC address table to map each device's MAC address to a specific port, allowing it to forward frames to the correct destination.",datalink-layer,"['Routing Table', 'ARP Table', 'MAC Address Table', 'ARP Cache']"
